OilRate,WaterRate,GasRate,GOR,TBGTemp,TBGPress,DiffPress,Temperature,Pressure
3378,315,2126,629,206,287,8,130,284
3325,312,2303,693,205,295,6,135,256
3299,310,2408,730,205,287,9,145,238
3277,307,2409,735,205,287,8,147,248
3275,309,2359,720,205,290,2,80,224
3275,309,2407,735,204,295,387,92,246
3270,308,2429,743,205,292,1236,152,266
3265,314,2327,713,205,292,3,99,238
3263,317,2397,735,205,291,161,67,238
3243,311,2441,753,205,291,87,123,242
3243,315,2620,808,205,283,64,125,253
3193,318,2544,797,205,289,2,78,245
3192,328,2537,795,205,288,2,76,246
2919,288,2293,786,205,289,2,79,244
2921,289,2270,777,205,291,192,151,252
2922,292,2217,759,205,287,131,114,244
2922,299,2177,745,205,283,227,129,243
2896,297,1868,645,205,290,3,113,242
2925,296,2024,692,205,290,228,107,231
2922,292,2023,692,205,287,204,127,241
2920,295,2021,692,205,289,263,128,240
2930,285,1810,618,205,287,130,65,241
2922,282,1851,633,205,282,39,167,255
2912,280,2022,694,205,286,110,62,253
2908,279,2190,753,205,287,274,116,264
2904,279,2011,693,205,288,479,112,262
2894,302,2082,719,205,286,2,79,228
2909,309,2225,765,205,284,2,79,233
2861,299,2068,723,205,287,2,79,237
2847,285,2123,746,204,294,27,72,269
2911,268,2185,751,205,278,126,68,295
2870,269,2084,726,205,278,115,67,292
2919,287,2103,720,204,282,150,146,306
2888,285,2087,723,205,284,310,94,296
2893,288,2081,719,204,276,129,69,288
2904,288,2037,702,204,284,293,89,295
2893,280,1986,687,205,283,120,69,292
2875,276,2043,711,204,290,368,107,279
2843,274,2067,727,205,286,2,103,278
2871,273,2052,715,205,285,110,63,291
2865,273,2058,718,205,283,109,66,290
2870,273,2064,719,205,277,105,66,289
788,40,349,443,205,274,115,59,287
2546,0,0,0,80,573,2,80,192
1698,0,0,0,78,520,2,77,152
1275,2,393,308,78,46,2,77,158
2101,158,924,440,193,217,2,77,219
2385,250,1298,544,196,245,2,77,230
2493,233,1438,577,198,248,2,77,248
2502,216,1451,580,199,253,148,60,279
2531,238,1500,593,200,257,552,178,295
2548,230,1490,585,200,260,12,85,295
2537,231,1531,603,200,259,15,110,289
2490,223,1509,606,200,256,1236,140,309
2482,225,1517,611,201,261,725,161,294
1540,224,1520,987,201,256,15,124,295
1634,197,1434,877,201,258,16,81,295
2015,230,1884,935,201,261,20,84,305
2608,235,1896,727,201,274,6,99,264
2618,206,1991,761,201,267,104,66,286
2616,203,2026,774,201,267,802,160,295
2627,198,1958,745,201,267,1059,138,308
2614,203,2009,768,201,269,1123,143,306
2621,201,2013,768,201,267,342,175,288
2598,201,2003,771,201,264,15,115,285
2603,201,2013,773,201,267,808,171,301
2590,196,1973,762,201,266,212,88,306
2590,201,2019,779,200,269,2,80,284
2591,201,1945,751,201,269,124,73,295
2592,201,1954,754,202,270,16,82,287
2578,199,1805,700,202,277,168,101,240
2603,198,1890,726,201,275,2,81,232
2637,199,1925,730,202,269,430,100,307
2661,208,1890,710,201,267,1032,144,320
2651,209,1878,708,201,268,1019,157,316
2644,204,1891,715,201,268,572,147,308
2658,205,1896,713,201,270,115,72,297
2664,205,1929,724,201,267,323,105,306
2682,202,1894,706,201,268,521,107,314
2702,200,1861,689,202,274,986,146,319
2630,202,1909,726,201,268,188,91,303
2653,200,1874,706,201,271,182,89,302
2584,199,1832,709,201,271,133,88,294
2589,199,1863,720,201,274,143,88,296
2357,190,536,227,201,265,292,102,305
2364,190,527,223,201,274,453,112,304
2374,191,520,219,201,266,118,73,298
2377,190,526,221,201,270,144,72,298
2202,178,500,227,201,267,376,115,303
2356,189,538,228,201,275,1141,140,317
2244,127,400,178,201,267,841,154,309
2245,128,399,178,201,269,504,154,302
2232,128,392,176,200,269,671,113,303
2267,130,399,176,201,268,1213,138,318
2239,127,398,178,201,268,1327,134,321
2243,129,397,177,201,264,296,107,303
2240,130,396,177,201,273,758,114,307
2244,130,397,177,201,267,1052,174,311
2240,131,395,176,201,268,2,136,295
2233,130,394,177,201,272,281,116,300
2241,130,395,176,201,268,279,104,305
2227,129,393,176,201,269,487,117,305
2226,129,393,176,200,268,190,94,300
2230,129,393,176,201,268,200,94,300
2231,129,386,173,200,269,301,103,300
2235,129,400,179,201,269,285,104,299
2225,129,412,185,200,269,381,117,301
2217,130,411,185,201,270,277,119,297
2235,132,406,182,200,271,301,103,297
2236,131,381,170,200,273,438,103,299
2227,131,407,183,200,404,388,105,245
2203,131,412,187,199,403,279,103,303
1618,95,390,241,199,403,322,103,295
2220,131,393,177,201,267,254,102,293
2228,131,401,180,200,266,278,103,300
2221,130,404,182,201,273,383,104,236
2198,127,394,179,200,264,240,103,295
2204,125,399,181,200,266,320,103,294
1571,102,-54,-34,200,267,1297,133,318
1564,104,200,128,200,266,1288,134,321
1557,103,198,127,200,272,0,106,182
1551,104,199,128,200,271,937,154,310
1546,102,199,129,200,263,177,116,294
1545,103,175,113,200,267,798,156,298
1549,104,198,128,200,283,288,104,257
1308,89,167,127,200,263,237,110,300
772,51,99,129,93,183,201,104,300
1013,68,48,47,184,296,207,107,299
504,35,66,131,197,262,243,112,293
1,0,1,770,106,205,1380,133,277
1,0,1,858,82,229,551,92,317
1851,129,1731,935,94,1210,574,92,315
1851,129,1589,858,192,252,1147,113,321
715,52,625,875,186,273,300,90,307
312,22,277,888,84,230,335,90,308
1249,88,1111,890,84,228,234,109,301
2365,168,1668,705,196,257,271,109,302
1243,87,891,717,198,268,279,110,304
1740,124,1231,708,172,543,245,110,303
1430,100,133,93,183,399,2,82,294
1521,105,366,241,187,548,2,82,292
2424,154,4056,1673,187,296,249,108,297
2540,163,4139,1630,183,300,122,78,295
2440,153,3971,1627,184,293,478,171,303
2441,152,4927,2018,183,302,1132,128,322
2500,155,4173,1669,183,297,585,91,311
2425,147,3885,1602,183,303,271,170,302
2441,155,3996,1637,183,285,1376,177,323
2446,154,3982,1628,200,260,1240,116,313
2472,159,4036,1632,200,260,276,117,296
2438,156,4148,1702,201,260,1145,127,316
53,3,90,1697,201,263,1222,115,315
1405,89,2418,1720,87,1485,1148,126,314
641,40,1099,1715,84,224,1244,114,311
2362,147,4004,1695,189,272,116,74,296
2460,153,4074,1656,200,271,321,167,299
2428,152,4067,1675,195,282,270,168,298
2432,153,3965,1631,195,283,837,161,309
2701,174,2794,1034,195,279,562,151,309
2697,174,2770,1027,195,283,871,160,306
2670,173,2771,1038,195,280,802,159,305
2661,172,2775,1043,195,288,578,89,307
2657,171,2774,1044,195,283,567,89,303
2631,167,2754,1047,196,299,550,90,303
2632,165,2752,1046,195,266,574,88,303
2628,165,2749,1046,194,272,594,89,307
2610,165,2721,1043,198,298,533,89,302
2643,164,2735,1035,194,265,283,146,303
2624,164,2785,1061,193,287,301,152,301
2633,166,2964,1125,195,264,404,149,249
2624,167,2741,1044,193,279,291,147,306
2616,163,2299,879,196,295,310,117,305
2618,165,2242,856,195,273,1,88,297
2572,163,2363,919,195,284,303,116,246
2603,165,2417,928,195,282,257,103,246
2574,165,2416,939,195,275,312,149,306
2572,169,2404,935,195,273,895,138,314
2587,171,2405,930,195,273,124,106,297
2588,173,2445,945,195,277,159,99,299
2579,173,2416,937,195,273,68,106,297
2581,171,2408,933,195,276,91,104,297
2562,172,2370,925,195,276,195,86,309
2566,172,2386,930,195,274,145,82,298
2565,171,2388,931,194,291,2,83,293
2595,173,2407,928,197,280,957,140,312
2542,168,2433,957,197,284,956,140,305
2582,166,2367,916,197,279,1,104,294
2403,153,2035,846,197,282,186,89,296
2454,154,1982,808,197,285,201,106,302
2421,154,2012,831,197,283,363,113,309
2398,155,1998,833,197,287,185,106,309
2383,156,1993,837,197,285,205,106,306
2391,156,2002,837,197,285,188,106,308
2390,156,1999,836,197,288,187,106,308
2383,157,2000,839,197,289,209,106,309
2375,156,1999,842,197,284,201,106,308
2360,157,2047,868,197,284,192,105,306
2120,141,1856,875,197,282,933,140,316
1996,134,1743,873,197,287,72,72,301
2373,157,2086,879,197,282,75,71,300
2256,149,1980,877,197,287,1274,174,321
2274,149,2049,901,197,281,966,117,311
2403,0,1887,785,196,278,559,166,319
2391,0,1888,789,197,275,836,123,306
2386,0,1876,786,197,275,366,92,296
2388,0,1884,789,197,286,554,88,305
2366,0,1880,794,197,276,408,122,305
2471,0,1875,759,195,287,932,139,308
2607,0,2081,798,194,275,1040,115,314
2416,0,2240,927,195,284,1027,115,292
2389,0,2274,952,195,287,1039,115,309
2373,0,2255,950,195,283,34,72,296
2384,0,2208,926,195,290,34,79,289
2370,0,2225,939,195,288,384,96,277
2361,0,2218,940,195,279,957,179,312
2354,0,2244,954,195,286,718,90,296
2358,0,2250,954,195,283,1154,115,293
2345,0,2175,927,195,279,81,96,300
2333,0,2114,906,195,278,220,99,304
2335,0,2118,907,195,277,407,95,309
2320,0,2231,962,195,281,370,126,311
2338,0,2207,944,195,290,407,126,294
2333,0,2120,909,195,275,378,125,311
2328,0,2117,909,195,276,365,96,315
2343,0,2141,914,195,278,5,84,301
2335,0,2194,940,195,275,235,109,309
2331,0,2115,908,195,280,267,90,308
2325,0,2114,909,195,278,281,89,305
2318,0,2110,910,195,279,36,69,296
2292,0,2219,968,195,276,37,65,296
2031,0,1724,849,195,283,2,75,264
2342,0,2287,977,185,280,2,76,250
2653,0,2319,874,195,291,69,69,264
2661,0,2931,1102,195,298,364,103,275
2678,0,3194,1193,195,283,281,99,269
2467,249,3611,1464,195,267,144,112,276
2470,246,3030,1227,195,255,2,135,288
2448,245,3120,1274,195,274,2677,176,462
2467,252,3574,1448,195,271,687,182,305
2528,239,3557,1407,195,272,98,66,282
2498,251,3612,1446,195,275,457,148,296
2074,210,3064,1478,195,278,1890,127,301
2404,228,3432,1427,194,255,1,74,276
2422,230,3490,1441,194,269,1,74,279
2413,227,3346,1386,194,265,0,73,289
2391,221,3156,1320,195,279,325,107,289
2382,219,2888,1213,194,263,298,108,295
2391,231,2915,1219,195,267,4230,156,345
2439,235,2998,1229,195,270,4219,157,343
2442,235,3028,1240,195,280,4227,158,340
2439,236,3116,1278,195,271,689,135,302
2418,235,3115,1288,195,276,2,74,293
2425,232,3119,1286,195,273,797,159,304
2428,231,3114,1282,195,278,1044,171,310
2428,230,3163,1303,195,268,340,90,292
2430,231,3163,1302,195,281,305,87,291
2414,230,3159,1309,195,269,1199,123,309
2399,229,3154,1315,195,269,321,84,290
2401,231,3151,1313,195,271,353,85,290
2420,229,3157,1305,195,277,375,87,292
2423,228,3153,1302,195,265,329,84,288
2423,230,3158,1304,195,272,349,85,289
2429,229,3144,1294,195,274,379,86,291
2442,231,3133,1283,195,278,300,89,290
2440,230,3100,1270,195,270,375,126,292
2428,234,3119,1285,195,275,298,168,290
2422,234,3138,1296,195,280,846,162,296
2425,233,3139,1294,195,263,342,109,291
2423,232,3136,1294,195,278,92,63,285
2420,232,3127,1292,195,268,3692,157,329
2411,233,3119,1294,195,259,33,67,283
2419,230,3133,1295,195,269,3709,156,327
2411,227,3118,1293,195,261,2,75,281
2175,207,2840,1306,195,268,2,74,280
1755,92,1126,641,129,234,2,74,284
2447,214,3413,1395,201,240,2,74,270
2413,853,3008,1247,195,259,2,74,282
2422,223,3032,1252,195,271,20,84,285
